time_s,request,aux_v,input_v,aux_good,power_enable,pvdd_v,audio_run,efuse_latched
2.84,1,12,48,1,1,39.7946,0,0
2.85,1,12,48,1,1,40.0131,0,0
2.86,1,12,48,1,1,40.2316,0,0
2.87,1,12,48,1,1,40.4502,0,0
2.88,1,12,48,1,1,40.6687,0,0
2.89,1,12,48,1,1,40.8872,0,0
2.9,1,12,48,1,1,41.1058,0,0
2.91,1,12,48,1,1,41.3243,0,0
2.92,1,12,48,1,1,41.5428,0,0
2.93,1,12,48,1,1,41.7614,0,0
2.94,1,12,48,1,1,41.9799,0,0
2.95,1,12,48,1,1,42.1984,0,0
2.96,1,12,48,1,1,42.417,0,0
2.97,1,12,48,1,1,42.6355,0,0
2.98,1,12,48,1,1,42.854,0,0
2.99,1,12,48,1,1,43.0726,0,0
3.0,1,12,48,1,1,43.2911,0,0
3.01,1,12,48,1,1,43.5096,0,0
3.02,1,12,48,1,1,43.7281,0,0
3.03,1,12,48,1,1,43.9467,0,0
3.04,1,12,48,1,1,44.1652,0,0
3.05,1,12,48,1,1,44.3837,0,0
3.06,1,12,48,1,1,44.6023,0,0
3.07,1,12,48,1,1,44.8208,0,0
3.08,1,12,48,1,1,45.0393,0,0
3.09,1,12,48,1,1,45.2579,0,0
3.1,1,12,48,1,1,45.4764,0,0
3.11,1,12,48,1,1,45.6949,0,0
3.12,1,12,48,1,1,45.9135,0,0
3.13,1,12,48,1,1,46.132,0,0
3.14,1,12,48,1,1,46.3505,0,0
3.15,1,12,48,1,1,46.5691,0,0
3.16,1,12,48,1,1,46.7876,0,0
3.17,1,12,48,1,1,47.0061,0,0
3.18,1,12,48,1,1,47.2247,0,0
3.19,1,12,48,1,1,47.4432,0,0
3.2,1,12,48,1,1,47.6617,0,0
3.21,1,12,48,1,1,47.8802,0,0
3.22,1,12,48,1,1,48,0,0
3.23,1,12,48,1,1,48,0,0
3.24,1,12,48,1,1,48,0,0
3.25,1,12,48,1,1,48,0,0
3.26,1,12,48,1,1,48,0,0
3.27,1,12,48,1,1,48,0,0
3.28,1,12,48,1,1,48,0,0
3.29,1,12,48,1,1,48,0,0
3.3,1,12,48,1,1,48,0,0
3.31,1,12,48,1,1,48,0,0
3.32,1,12,48,1,1,48,0,0
3.33,1,12,48,1,1,48,0,0
3.34,1,12,48,1,1,48,0,0
3.35,1,12,48,1,1,48,0,0
3.36,1,12,48,1,1,48,0,0
3.37,1,12,48,1,1,48,0,0
3.38,1,12,48,1,1,48,0,0
3.39,1,12,48,1,1,48,0,0
3.4,1,12,48,1,1,48,0,0
3.41,1,12,48,1,1,48,0,0
3.42,1,12,48,1,1,48,0,0
3.43,1,12,48,1,1,48,0,0
3.44,1,12,48,1,1,48,0,0
3.45,1,12,48,1,1,48,0,0
3.46,1,12,48,1,1,48,0,0
